,Rank,Bank_Name,Total_Asset_in_USD,Total_Asset_in_GBP,Total_Asset_in_EUR,Total_Asset_in_INR
0,1,Industrial and Commercial Bank of China,6303.44,4979.72,5799.16,526085.1
1,2,Agricultural Bank of China,5623.12,4442.26,5173.27,469305.6
2,3,China Construction Bank,5400.28,4266.22,4968.26,450707.37
3,4,Bank of China,4578.28,3616.84,4212.02,382103.25
4,5,JPMorgan Chase,3875.39,3061.56,3565.36,323440.05
5,6,Bank of America,3180.15,2512.32,2925.74,265415.32
6,7,HSBC,2919.84,2306.67,2686.25,243689.85
7,8,BNP Paribas,2867.44,2265.28,2638.04,239316.54
8,9,Mitsubishi UFJ Financial Group,2816.77,2225.25,2591.43,235087.62
9,10,Crédit Agricole,2736.95,2162.19,2517.99,228425.85
10,11,Postal Savings Bank of China,2217.86,1752.11,2040.43,185102.6
11,12,Citigroup,2200.83,1738.66,2024.76,183681.27
12,13,SMBC Group,2027.34,1601.6,1865.15,169201.8
13,14,Banco Santander,1986.36,1569.22,1827.45,165781.61
14,15,Bank of Communications,1982.89,1566.48,1824.26,165492.0
15,16,Wells Fargo,1932.47,1526.65,1777.87,161283.95
16,17,Mizuho Financial Group,1923.56,1519.61,1769.68,160540.32
17,18,Barclays,1891.72,1494.46,1740.38,157882.95
18,19,Société Générale,1717.49,1356.82,1580.09,143341.72
19,20,UBS,1717.25,1356.63,1579.87,143321.68
20,21,Groupe BPCE,1706.8,1348.37,1570.26,142449.53
21,22,Goldman Sachs,1641.59,1296.86,1510.26,137007.1
22,23,Japan Post Bank,1625.6,1284.22,1495.55,135672.58
23,24,Royal Bank of Canada,1566.41,1237.46,1441.1,130732.58
24,25,China Merchants Bank,1555.3,1228.69,1430.88,129805.34
25,26,Deutsche Bank,1450.57,1145.95,1334.52,121064.57
26,27,Industrial Bank (China),1432.59,1131.75,1317.98,119563.96
27,28,Toronto-Dominion Bank,1428.29,1128.35,1314.03,119205.08
28,29,China CITIC Bank,1276.63,1008.54,1174.5,106547.54
29,30,Crédit Mutuel,1262.95,997.73,1161.91,105405.81
30,31,Shanghai Pudong Development Bank,1207.18,953.67,1110.61,100751.24
31,32,Morgan Stanley,1193.69,943.02,1098.19,99625.37
32,33,Lloyds Banking Group,1122.76,886.98,1032.94,93705.55
33,34,China Minsheng Bank,1082.37,855.07,995.78,90334.6
34,35,ING Group,1078.35,851.9,992.08,89999.09
35,36,Intesa Sanpaolo,1066.74,842.72,981.4,89030.12
36,37,Scotiabank,1041.11,822.48,957.82,86891.04
37,38,Bank of Montreal,990.19,782.25,910.97,82641.26
38,39,China Everbright Bank,955.14,754.56,878.73,79715.98
39,40,NatWest Group,882.3,697.02,811.72,73636.76
40,41,UniCredit,872.9,689.59,803.07,72852.23
41,42,Commonwealth Bank,868.74,686.3,799.24,72505.04
42,43,Banco Bilbao Vizcaya Argentaria,857.25,677.23,788.67,71546.08
43,44,Standard Chartered,822.84,650.04,757.01,68674.23
44,45,La Banque postale,815.91,644.57,750.64,68095.85
45,46,Ping An Bank,787.93,622.46,724.9,65760.64
46,47,State Bank of India,780.05,616.24,717.65,65102.97
47,48,ANZ Group,769.59,607.98,708.02,64229.98
48,49,Canadian Imperial Bank of Commerce,726.27,573.75,668.17,60614.49
49,50,DZ Bank,712.49,562.87,655.49,59464.42
50,51,Norinchukin Bank,702.03,554.6,645.87,58591.42
51,52,National Australia Bank,683.41,539.89,628.74,57037.4
52,53,Rabobank,678.45,535.98,624.17,56623.44
53,54,CaixaBank,671.13,530.19,617.44,56012.51
54,55,Westpac,664.5,524.96,611.34,55459.17
55,56,U.S. Bancorp,663.49,524.16,610.41,55374.88
56,57,Nordea,662.71,523.54,609.69,55309.78
57,58,Capital One,629.99,497.69,579.59,52578.97
58,59,Sberbank of Russia,581.88,459.69,535.33,48563.7
